method;num_threads;length;elapsed_time
atomics;11;10000;0.210700000025099
locks;11;10000;0.210900000183756
builtin;12;10000;0.242900000102964
critical;12;10000;0.228500000048371
atomics;12;10000;0.228400000196416
locks;12;10000;0.228400000196416
builtin;13;10000;0.262500000189902
critical;13;10000;0.249100000019098
atomics;13;10000;0.251800000114599
locks;13;10000;0.258700000358658
builtin;14;10000;0.293300000066665
critical;14;10000;0.270899999577523
atomics;14;10000;0.271299999894836
locks;14;10000;0.272899999799847
builtin;15;10000;0.301300000046467
critical;15;10000;0.291100000140432
atomics;15;10000;0.290299999960553
locks;15;10000;0.291600000309700
builtin;2;1000000;1.032900000154768
critical;2;1000000;0.994900000023335
atomics;2;1000000;0.986199999715609
locks;2;1000000;0.973200000316865
builtin;3;1000000;0.609599999734201
critical;3;1000000;0.682699999742908
atomics;3;1000000;0.671700000111741
locks;3;1000000;0.654199999644334
builtin;4;1000000;0.456299999768817
critical;4;1000000;0.502100000176142
atomics;4;1000000;0.489399999878515
locks;4;1000000;0.504999999975553
builtin;5;1000000;0.542499999937718
critical;5;1000000;0.570500000321772
atomics;5;1000000;0.519200000326236
locks;5;1000000;0.524300000051880
builtin;6;1000000;0.471599999855243
critical;6;1000000;0.472900000204390
atomics;6;1000000;0.511199999891687
locks;6;1000000;0.446600000032049
builtin;7;1000000;0.426399999923888
critical;7;1000000;0.452199999926961
atomics;7;1000000;0.375399999938963
locks;7;1000000;0.384000000394735
builtin;8;1000000;0.371500000255764
critical;8;1000000;0.358299999788869
atomics;8;1000000;0.334099999690807
locks;8;1000000;0.336600000082399
builtin;9;1000000;0.528200000189827
critical;9;1000000;0.815599999896222
atomics;9;1000000;0.754599999709171
locks;9;1000000;0.773400000070978
builtin;10;1000000;0.723099999959231
critical;10;1000000;0.752800000100251
atomics;10;1000000;0.756200000068930
locks;10;1000000;0.773799999933544
builtin;11;1000000;0.695600000199192
critical;11;1000000;0.749400000131573
atomics;11;1000000;0.647000000299158
locks;11;1000000;0.750700000025972
builtin;12;1000000;0.647599999865633
critical;12;1000000;0.771100000292790
atomics;12;1000000;0.945400000091468
locks;12;1000000;1.034400000207825
builtin;13;1000000;0.683199999912176
critical;13;1000000;0.776600000335748
atomics;13;1000000;0.824300000203948
locks;13;1000000;0.704300000052172
builtin;14;1000000;0.851900000270689
critical;14;1000000;0.688099999933911
atomics;14;1000000;0.697099999797501
locks;14;1000000;0.676900000144087
builtin;15;1000000;0.770500000271568
critical;15;1000000;0.675199999932374
atomics;15;1000000;0.678800000059709
locks;15;1000000;0.659100000120816
builtin;2;100;0.172899999597576
critical;2;100;0.002299999778188
atomics;2;100;0.000900000031834
locks;2;100;0.000800000179879
