num_threads;method;n_rows;n_cols;elapsed_time
16;reduction;100;100;0.44049999996786937118
16;nested;100;100;0.38470000072265975177
17;reduction;100;100;0.43970000115223228931
17;nested;100;100;0.38560000029974617064
18;reduction;100;100;0.40619999890623148531
18;nested;100;100;0.37389999852166511118
19;reduction;100;100;0.56229999972856603563
19;nested;100;100;0.24629999825265258551
20;reduction;100;100;0.46280000060505699366
20;nested;100;100;0.38830000084999483079
21;reduction;100;100;0.44019999950251076370
21;nested;100;100;0.42029999895021319389
22;reduction;100;100;0.46440000005532056093
22;nested;100;100;0.43399999958637636155
23;reduction;100;100;0.48470000001543667167
23;nested;100;100;0.46070000098552554846
24;reduction;100;100;0.59519999922486022115
24;nested;100;100;0.48539999988861382008
25;reduction;100;100;0.54449999879579991102
25;nested;100;100;0.50839999857998918742
26;reduction;100;100;0.56279999989783391356
26;nested;100;100;0.51879999955417588353
27;reduction;100;100;0.58709999939310364425
27;nested;100;100;0.55339999926218297333
28;reduction;100;100;0.62559999969380442053
28;nested;100;100;0.66669999978330451995
29;reduction;100;100;0.66100000003643799573
29;nested;100;100;0.67510000008041970432
30;reduction;100;100;0.65490000088175293058
30;nested;100;100;0.59989999863319098949
31;reduction;100;100;0.77079999937268439680
31;nested;100;100;0.63069999850995372981
32;reduction;100;100;0.67680000029213260859
32;nested;100;100;0.65139999969687778503
1;single;1000;1000;4.07749999976658727974
2;reduction;1000;1000;2.34180000006745103747
2;nested;1000;1000;2.01569999990169890225
3;reduction;1000;1000;1.66760000138310715556
3;nested;1000;1000;1.52909999997064005584
4;reduction;1000;1000;1.15939999886904843152
4;nested;1000;1000;1.01379999978234991431
5;reduction;1000;1000;1.46620000123220961541
5;nested;1000;1000;1.45979999979317653924
6;reduction;1000;1000;1.22129999908793251961
6;nested;1000;1000;1.19679999988875351846
7;reduction;1000;1000;1.07449999995878897607
7;nested;1000;1000;1.06009999944944866002
8;reduction;1000;1000;1.75990000025194603950
8;nested;1000;1000;2.50459999915619846433
9;reduction;1000;1000;1.84420000005047768354
9;nested;1000;1000;1.52840000009746290743
10;reduction;1000;1000;1.57200000103330239654
10;nested;1000;1000;1.25490000027639325708
11;reduction;1000;1000;1.59899999925983138382
11;nested;1000;1000;1.40400000054796691984
12;reduction;1000;1000;1.40869999995629768819
12;nested;1000;1000;1.50199999916367232800
13;reduction;1000;1000;1.64210000002640299499
13;nested;1000;1000;1.46899999890592880547
14;reduction;1000;1000;1.66019999960553832352
14;nested;1000;1000;1.31140000121376942843
15;reduction;1000;1000;1.22249999913037754595
15;nested;1000;1000;1.47269999979471322149
16;reduction;1000;1000;1.42870000127004459500
16;nested;1000;1000;1.42819999928178731352
17;reduction;1000;1000;1.71319999935803934932
17;nested;1000;1000;1.46649999987857881933
18;reduction;1000;1000;1.62699999964388553053
18;nested;1000;1000;1.44689999979163985699
19;reduction;1000;1000;1.40660000033676624298
19;nested;1000;1000;1.78509999932430218905
20;reduction;1000;1000;1.70240000079502351582
20;nested;1000;1000;1.60180000057152938098
21;reduction;1000;1000;1.55220000124245416373
21;nested;1000;1000;1.39429999944695737213
22;reduction;1000;1000;1.54010000005655456334
22;nested;1000;1000;1.48600000102305784822
23;reduction;1000;1000;1.31320000036794226617
23;nested;1000;1000;1.54339999971853103489
24;reduction;1000;1000;1.58740000006218906492
24;nested;1000;1000;1.61039999875356443226
25;reduction;1000;1000;1.76590000046417117119
25;nested;1000;1000;1.36899999961315188557
26;reduction;1000;1000;1.38990000050398521125
26;nested;1000;1000;1.43890000072133261710
27;reduction;1000;1000;1.63280000015220139176
27;nested;1000;1000;1.38140000126441009343
28;reduction;1000;1000;1.29880000167759135365
28;nested;1000;1000;1.16449999950418714434
29;reduction;1000;1000;1.59060000078170560300
29;nested;1000;1000;1.56549999883281998336
30;reduction;1000;1000;1.29790000028151553124
30;nested;1000;1000;1.73660000109521206468
31;reduction;1000;1000;1.56439999955182429403
31;nested;1000;1000;1.51160000132222194225
32;reduction;1000;1000;1.43039999966276809573
32;nested;1000;1000;1.33429999914369545877
1;single;10;10;0.00090000139607582241
2;reduction;10;10;0.31619999936083331704
2;nested;10;10;0.04970000009052455425
3;reduction;10;10;0.03060000017285346985
3;nested;10;10;0.00530000033904798329
4;reduction;10;10;0.03440000000409781933
4;nested;10;10;0.00319999890052713454
5;reduction;10;10;0.03190000097674783319
5;nested;10;10;0.00259999978879932314
6;reduction;10;10;0.04850000004807952791
6;nested;10;10;0.03769999966607429087
7;reduction;10;10;0.10769999971671495587
7;nested;10;10;0.00240000008489005268
8;reduction;10;10;0.02839999979187268764
8;nested;10;10;0.00240000008489005268
9;reduction;10;10;0.10339999971620272845
9;nested;10;10;0.17519999892101623118
10;reduction;10;10;0.21449999985634349287
10;nested;10;10;0.10520000068936496973
11;reduction;10;10;0.23270000019692815840
11;nested;10;10;0.21320000087143853307
12;reduction;10;10;0.24920000032579991966
12;nested;10;10;0.23209999926621094346
13;reduction;10;10;0.26580000121612101793
13;nested;10;10;0.27069999850937165320
14;reduction;10;10;0.29829999948560725898
14;nested;10;10;0.26919999982055742294
15;reduction;10;10;0.32239999927696771920
15;nested;10;10;0.29449999965436290950
16;reduction;10;10;0.34209999830636661500
16;nested;10;10;0.31080000007932540029
17;reduction;10;10;0.39899999865156132728
17;nested;10;10;0.17569999909028410912
18;reduction;10;10;0.37720000000263098627
18;nested;10;10;0.35310000021127052605
19;reduction;10;10;0.39199999991978984326
19;nested;10;10;0.36679999902844429016
20;reduction;10;10;0.40889999945648014545
20;nested;10;10;0.38769999991927761585
21;reduction;10;10;0.43310000000928994268
21;nested;10;10;0.41000000055646523833
22;reduction;10;10;0.44880000132252462208
22;nested;10;10;0.42960000064340420067
23;reduction;10;10;0.49519999993208330125
23;nested;10;10;0.44319999869912862778
24;reduction;10;10;0.58650000028137583286
24;nested;10;10;0.47550000090268440545
25;reduction;10;10;0.52200000027369242162
25;nested;10;10;0.48480000077688600868
26;reduction;10;10;0.55410000095434952527
26;nested;10;10;0.51210000128776300699
27;reduction;10;10;0.57179999930667690933
27;nested;10;10;0.55350000002363231033
28;reduction;10;10;0.60269999994488898665
28;nested;10;10;0.54070000078354496509
29;reduction;10;10;0.69080000139365438372
29;nested;10;10;0.57489999926474411041
30;reduction;10;10;0.64130000100703909993
30;nested;10;10;0.60540000049513764679
31;reduction;10;10;0.64939999901980627328
31;nested;10;10;0.61079999977664556354
32;reduction;10;10;0.76380000064091291279
32;nested;10;10;0.63249999948311597109
1;single;100;100;0.04389999958220869303
2;reduction;100;100;0.35690000004251487553
2;nested;100;100;0.05160000000614672899
3;reduction;100;100;0.22859999990032520145
3;nested;100;100;0.02490000042598694563
4;reduction;100;100;0.04759999865200370550
4;nested;100;100;0.02560000029916409403
5;reduction;100;100;0.04460000127437524498
5;nested;100;100;0.04210000042803585529
6;reduction;100;100;0.03970000034314580262
6;nested;100;100;0.01949999932548962533
7;reduction;100;100;0.03859999924316070974
7;nested;100;100;0.02209999911428894848
8;reduction;100;100;0.04280000030121300370
8;nested;100;100;0.01540000084787607193
9;reduction;100;100;0.12380000043776817620
9;nested;100;100;0.18540000019129365683
10;reduction;100;100;0.22519999947689939290
10;nested;100;100;0.11339999946358148009
11;reduction;100;100;0.22089999947638716549
11;nested;100;100;0.21300000116752926260
12;reduction;100;100;0.25749999986146576703
12;nested;100;100;0.23650000002817250788
13;reduction;100;100;0.27009999939764384180
13;nested;100;100;0.24870000015653204173
14;reduction;100;100;0.30650000007881317288
14;nested;100;100;0.26350000007369089872
15;reduction;100;100;0.42360000043117906898
15;nested;100;100;0.31309999940276611596
16;reduction;100;100;0.35079999906884040684
16;nested;100;100;0.30700000024808105081
17;reduction;100;100;0.37169999995967373252
17;nested;100;100;0.34979999873030465096
18;reduction;100;100;0.38029999996069818735
18;nested;100;100;0.36360000012791715562
19;reduction;100;100;0.42090000169991981238
19;nested;100;100;0.39180000021588057280
20;reduction;100;100;0.44329999946057796478
20;nested;100;100;0.41149999924527946860
21;reduction;100;100;0.48950000018521677703
21;nested;100;100;0.42360000043117906898
22;reduction;100;100;0.48840000090422108769
22;nested;100;100;0.44640000123763456941
23;reduction;100;100;0.51469999925757292658
23;nested;100;100;0.47129999984463211149
24;reduction;100;100;0.51960000018880236894
