num_threads;method;num_iterations;elapsed_time
12;guided;1000000;62.69290000000182772055
13;static;1000000;60.36029999995662365109
13;dynamic;1000000;56.74610000005486654118
13;guided;1000000;57.81569999999192077667
14;static;1000000;61.89159999985349713825
14;dynamic;1000000;55.23630000016055419110
14;guided;1000000;62.99989999979516142048
15;static;1000000;62.73129999999582651071
15;dynamic;1000000;58.57470000000830623321
15;guided;1000000;63.84380000008604838513
16;static;1000000;62.23890000001119915396
16;dynamic;1000000;59.54410000003917957656
16;guided;1000000;57.24349999991318327375
1;single;100;0.03250000008847564459
2;static;100;0.29080000012982054614
2;dynamic;100;0.02009999980145948939
2;guided;100;0.01840000004449393600
3;static;100;0.09070000032807001844
3;dynamic;100;0.01530000008642673492
3;guided;100;0.01329999986410257407
4;static;100;0.06050000001778244041
4;dynamic;100;0.01169999995909165591
4;guided;100;0.01169999995909165591
5;static;100;0.05749999991166987456
5;dynamic;100;0.01119999978982377797
5;guided;100;0.00989999989542411640
6;static;100;0.05510000028152717277
6;dynamic;100;0.00969999973676749505
6;guided;100;0.00920000002224696800
7;static;100;0.06729999995513935573
7;dynamic;100;0.00959999988481285982
7;guided;100;0.01019999990603537299
8;static;100;0.06810000013501849025
8;dynamic;100;0.00939999972615623847
8;guided;100;0.00769999996919068508
9;static;100;0.12910000032206880860
9;dynamic;100;0.28530000008686329238
9;guided;100;0.27910000017072889023
10;static;100;0.33889999986058683135
10;dynamic;100;0.33680000024105538614
10;guided;100;0.32210000017585116439
11;static;100;0.39470000001529115252
11;dynamic;100;0.21389999983512097970
11;guided;100;0.34790000017892452888
12;static;100;0.41450000026088673621
12;dynamic;100;0.39049999986673356034
12;guided;100;0.39590000005773617886
13;static;100;0.45760000011796364561
13;dynamic;100;0.30139999989842181094
13;guided;100;0.42720000010376679711
14;static;100;0.48199999991993536241
14;dynamic;100;0.56020000010903459042
14;guided;100;0.45679999993808451109
15;static;100;0.56569999969724449329
15;dynamic;100;0.51819999998770072125
15;guided;100;0.28109999993830570020
16;static;100;0.56309999990844517015
16;dynamic;100;0.52490000007310300134
16;guided;100;0.53810000008525094017
1;single;10000;3.13449999976000981405
2;static;10000;1.91969999968932825141
2;dynamic;10000;1.69389999973645899445
2;guided;10000;1.70149999985369504429
3;static;10000;1.17670000008729402907
3;dynamic;10000;1.12519999993310193531
3;guided;10000;1.14819999998871935531
4;static;10000;0.95510000028298236430
4;dynamic;10000;0.85699999999633291736
4;guided;10000;0.95109999983833404258
5;static;10000;0.91229999998176936060
5;dynamic;10000;0.77610000016647973098
5;guided;10000;0.79139999979815911502
6;static;10000;2.85660000008647330105
6;dynamic;10000;0.75429999969855998643
6;guided;10000;0.73149999980159918778
7;static;10000;0.89359999992666416802
7;dynamic;10000;0.64179999981206492521
7;guided;10000;0.82109999993917881511
8;static;10000;3.13479999977062107064
8;dynamic;10000;5.60580000001209555194
8;guided;10000;2.53629999997428967617
9;static;10000;0.94829999989087809809
9;dynamic;10000;0.86799999962750007398
9;guided;10000;0.72630000022400054149
10;static;10000;1.10549999999420833774
10;dynamic;10000;0.85379999973156373017
10;guided;10000;0.96419999999852734618
11;static;10000;1.02809999998498824425
11;dynamic;10000;0.99639999962164438330
11;guided;10000;1.00000000020372681320
12;static;10000;1.62860000000364379957
12;dynamic;10000;0.85429999990083160810
12;guided;10000;0.89049999996859696694
